,Groups and presentations - Please read this!,Information,Lectures,Information - the activety plan is updated (29.08),Start,End
Groups and presentations - Please read this!,0.5325581395348837,0.0,0.13488372093023257,0.20232558139534884,0.0,0.13023255813953488
Information,0.0,0.5106382978723404,0.06382978723404255,0.0,0.0,0.425531914893617
Lectures,0.12476007677543186,0.028790786948176585,0.2821497120921305,0.3493282149712092,0.0,0.21497120921305182
Information - the activety plan is updated (29.08),0.04961832061068702,0.0,0.15076335877862596,0.5381679389312977,0.0,0.26145038167938933
Start,0.13764044943820225,0.028089887640449437,0.3103932584269663,0.523876404494382,0.0,0.0
End,,,,,,
