KLS3551 Kulturledelse,60,13,0.21666666666666667
MRK3480 Forbrukeratferd,1080,463,0.4287037037037037
ORG3402 Organisasjonsatferd og ledelse,602,195,0.3239202657807309
aggregate,1742,671,0.3851894374282434
