no. login (>=),once/week,twice/week,three/week,four/week,five/week,six/week
Week 2,0.37542087542087543,0.37037037037037035,0.35185185185185186,0.3400673400673401,0.3333333333333333,0.3148148148148148
Week 3,0.8417508417508418,0.8367003367003367,0.8131313131313131,0.8047138047138047,0.7811447811447811,0.7693602693602694
Week 4,0.8804713804713805,0.877104377104377,0.8569023569023569,0.8383838383838383,0.8080808080808081,0.7878787878787878
Week 5,0.7474747474747475,0.7407407407407407,0.6902356902356902,0.6717171717171717,0.6380471380471381,0.6212121212121212
Week 6,0.8114478114478114,0.803030303030303,0.7390572390572391,0.7121212121212122,0.6632996632996633,0.6397306397306397
Week 7,0.8249158249158249,0.8198653198653199,0.7609427609427609,0.7323232323232324,0.67003367003367,0.6380471380471381
Week 8,0.4158249158249158,0.41414141414141414,0.37542087542087543,0.367003367003367,0.3484848484848485,0.335016835016835
Week 9,0.003367003367003367,0.003367003367003367,0.003367003367003367,0.003367003367003367,0.003367003367003367,0.0016835016835016834
