no. login (>=),once/week,twice/week,three/week,four/week,five/week,six/week,every day
KLS3551 Kulturledelse,0.676470588235,0.676470588235,0.617647058824,0.617647058824,0.617647058824,0.617647058824,0.0
MRK3480 Forbrukeratferd,0.413502109705,0.409282700422,0.35864978903,0.345991561181,0.337552742616,0.333333333333,0.0
ORG3402 Organisasjonsatferd og ledelse,0.390092879257,0.390092879257,0.362229102167,0.356037151703,0.328173374613,0.306501547988,0.0
Aggregate,0.415824915825,0.414141414141,0.375420875421,0.367003367003,0.348484848485,0.335016835017,0.0
