space_1,distinct_id,2,3,4,5,6,7,week_login_total
MRK3480 Forbrukeratferd,5698da6441a9d721002408e3,0,0,1,0,1,0,2
MRK3480 Forbrukeratferd,5698da712fb0de2600f22b8f,0,1,0,1,0,0,2
MRK3480 Forbrukeratferd,5698da7a2fb0de2600f22c0a,0,0,2,0,0,0,2
MRK3480 Forbrukeratferd,5698da632fb0de2600f22aee,0,2,0,0,0,0,2
MRK3480 Forbrukeratferd,5698da7741a9d721002409ca,0,0,0,0,2,0,2
MRK3480 Forbrukeratferd,5698da7b41a9d721002409f3,0,1,1,0,0,0,2
MRK3480 Forbrukeratferd,5698da6e41a9d72100240956,0,0,1,1,0,0,2
MRK3480 Forbrukeratferd,5698da582fb0de2600f22a6b,1,1,0,0,0,0,2
MRK3480 Forbrukeratferd,5698da692fb0de2600f22b3c,0,1,0,0,1,0,2
MRK3480 Forbrukeratferd,5698da5341a9d72100240738,0,1,0,1,0,0,2
MRK3480 Forbrukeratferd,5698da4b2fb0de2600f229c5,0,2,0,0,0,0,2
MRK3480 Forbrukeratferd,5698da492fb0de2600f229a8,0,2,0,0,0,0,2
MRK3480 Forbrukeratferd,5698da512fb0de2600f22a12,0,0,1,0,1,0,2
MRK3480 Forbrukeratferd,5698da7541a9d7210024099f,1,1,0,0,0,0,2
MRK3480 Forbrukeratferd,5698da6f2fb0de2600f22b8a,1,0,1,0,0,0,2
MRK3480 Forbrukeratferd,5698da552fb0de2600f22a3f,0,0,1,1,0,0,2
MRK3480 Forbrukeratferd,5698da522fb0de2600f22a1c,0,1,1,0,0,0,2
MRK3480 Forbrukeratferd,5698da4b41a9d721002406e0,0,1,1,0,0,0,2
MRK3480 Forbrukeratferd,5698da472fb0de2600f2299c,0,1,0,0,1,0,2
MRK3480 Forbrukeratferd,56a6b09c37f619210097cc6a,0,0,1,0,1,0,2
MRK3480 Forbrukeratferd,5698da452fb0de2600f22972,0,0,1,0,1,0,2
MRK3480 Forbrukeratferd,5698da6641a9d721002408fe,0,0,0,0,3,0,3
MRK3480 Forbrukeratferd,5698da7141a9d7210024097c,0,2,1,0,0,0,3
MRK3480 Forbrukeratferd,5698da6c41a9d72100240948,1,0,2,0,0,0,3
MRK3480 Forbrukeratferd,5698da5241a9d72100240736,0,0,2,0,1,0,3
MRK3480 Forbrukeratferd,5698da562fb0de2600f22a4b,0,2,0,0,1,0,3
MRK3480 Forbrukeratferd,5698da4e2fb0de2600f229ec,0,1,1,1,0,0,3
MRK3480 Forbrukeratferd,5698da6041a9d721002407d3,0,1,1,0,1,0,3
MRK3480 Forbrukeratferd,5698da4d41a9d72100240706,0,3,0,0,0,0,3
MRK3480 Forbrukeratferd,56a8ed7d29028e2600913141,0,0,1,2,0,0,3
MRK3480 Forbrukeratferd,5698da6941a9d72100240925,0,0,2,0,1,0,3
MRK3480 Forbrukeratferd,5698da712fb0de2600f22b93,0,0,3,0,0,0,3
MRK3480 Forbrukeratferd,5698da652fb0de2600f22b12,0,1,2,0,0,0,3
MRK3480 Forbrukeratferd,5698da5b41a9d7210024079f,0,0,2,1,0,0,3
MRK3480 Forbrukeratferd,5698da4c2fb0de2600f229cc,0,0,3,0,0,0,3
MRK3480 Forbrukeratferd,5698da4f2fb0de2600f229fb,0,0,3,0,0,0,3
MRK3480 Forbrukeratferd,5698da5841a9d72100240777,1,1,0,1,0,0,3
MRK3480 Forbrukeratferd,5698da7141a9d7210024097a,1,1,1,0,0,0,3
MRK3480 Forbrukeratferd,5698da6e41a9d72100240954,0,1,1,1,0,0,3
MRK3480 Forbrukeratferd,5698da742fb0de2600f22bbc,0,1,0,2,0,0,3
MRK3480 Forbrukeratferd,5698da6e41a9d72100240958,0,3,0,0,0,0,3
MRK3480 Forbrukeratferd,5698da5941a9d7210024077b,1,0,2,0,0,0,3
MRK3480 Forbrukeratferd,5698da5541a9d7210024075d,0,2,0,0,1,0,3
MRK3480 Forbrukeratferd,5698da5f41a9d721002407d0,0,0,3,0,0,0,3
MRK3480 Forbrukeratferd,5698da5b41a9d721002407a0,1,1,1,0,0,0,3
MRK3480 Forbrukeratferd,5698da6e2fb0de2600f22b6f,0,0,0,1,2,0,3
MRK3480 Forbrukeratferd,5698da4b2fb0de2600f229c9,0,1,0,1,2,0,4
MRK3480 Forbrukeratferd,5698da7a2fb0de2600f22c07,0,0,1,3,0,0,4
MRK3480 Forbrukeratferd,5698da6341a9d721002408cf,0,2,1,1,0,0,4
MRK3480 Forbrukeratferd,5698da5b41a9d721002407a1,0,0,1,3,0,0,4
MRK3480 Forbrukeratferd,5698da5d41a9d721002407b8,0,0,3,0,1,0,4
MRK3480 Forbrukeratferd,5698da472fb0de2600f2299b,0,1,2,0,1,0,4
MRK3480 Forbrukeratferd,5698da6a2fb0de2600f22b44,0,0,4,0,0,0,4
MRK3480 Forbrukeratferd,5698da4a41a9d721002406de,0,0,4,0,0,0,4
MRK3480 Forbrukeratferd,5698da7841a9d721002409d0,0,1,2,1,0,0,4
MRK3480 Forbrukeratferd,5698da772fb0de2600f22bde,0,3,1,0,0,0,4
MRK3480 Forbrukeratferd,5698da452fb0de2600f22973,2,0,1,0,1,0,4
MRK3480 Forbrukeratferd,5698da5941a9d7210024078d,0,2,2,0,0,0,4
MRK3480 Forbrukeratferd,5698da592fb0de2600f22a70,1,2,0,0,1,0,4
MRK3480 Forbrukeratferd,5698da452fb0de2600f2297b,0,1,2,0,1,0,4
MRK3480 Forbrukeratferd,5698da4641a9d72100240698,0,1,2,0,1,0,4
MRK3480 Forbrukeratferd,5698da5541a9d7210024075e,0,0,0,1,3,0,4
MRK3480 Forbrukeratferd,5698da6341a9d721002408ce,0,1,3,0,0,0,4
MRK3480 Forbrukeratferd,5698da4541a9d72100240694,0,0,2,1,1,0,4
MRK3480 Forbrukeratferd,5698da732fb0de2600f22bb4,1,0,3,0,0,0,4
MRK3480 Forbrukeratferd,5698da532fb0de2600f22a1f,0,1,2,0,1,0,4
MRK3480 Forbrukeratferd,5698da4b2fb0de2600f229c6,0,2,1,0,1,0,4
MRK3480 Forbrukeratferd,5698da6841a9d7210024090c,1,0,1,1,1,0,4
MRK3480 Forbrukeratferd,5698da732fb0de2600f22bb3,0,0,3,0,1,0,4
MRK3480 Forbrukeratferd,5698da482fb0de2600f229a3,0,0,1,0,3,0,4
MRK3480 Forbrukeratferd,5698da7a2fb0de2600f22c08,0,2,0,0,2,0,4
MRK3480 Forbrukeratferd,5698da6a41a9d72100240934,0,0,3,1,0,0,4
MRK3480 Forbrukeratferd,5698da4741a9d721002406b6,0,1,2,1,0,0,4
MRK3480 Forbrukeratferd,5698d6aa2fb0de2600f22592,0,1,2,0,1,0,4
MRK3480 Forbrukeratferd,5698da452fb0de2600f22974,0,1,1,1,1,0,4
MRK3480 Forbrukeratferd,5698da7141a9d72100240980,0,2,2,0,0,0,4
MRK3480 Forbrukeratferd,5698da7541a9d721002409a3,2,2,0,0,0,0,4
MRK3480 Forbrukeratferd,5698da4f41a9d72100240710,1,1,2,0,0,0,4
MRK3480 Forbrukeratferd,5698da6c2fb0de2600f22b66,0,1,1,1,1,0,4
MRK3480 Forbrukeratferd,5698da542fb0de2600f22a3a,0,5,0,0,0,0,5
MRK3480 Forbrukeratferd,5698da772fb0de2600f22be0,0,3,1,0,1,0,5
MRK3480 Forbrukeratferd,5698da6c41a9d72100240947,0,1,2,0,2,0,5
MRK3480 Forbrukeratferd,5698da6e41a9d72100240957,0,1,2,2,0,0,5
MRK3480 Forbrukeratferd,5698da4b2fb0de2600f229c4,2,0,2,1,0,0,5
MRK3480 Forbrukeratferd,5698da662fb0de2600f22b19,0,3,2,0,0,0,5
MRK3480 Forbrukeratferd,5698da4941a9d721002406c1,0,1,4,0,0,0,5
MRK3480 Forbrukeratferd,5698da5641a9d7210024076b,0,4,1,0,0,0,5
MRK3480 Forbrukeratferd,5698da4f2fb0de2600f229f9,0,1,1,3,0,0,5
MRK3480 Forbrukeratferd,5698da5c41a9d721002407a6,0,1,0,2,2,0,5
MRK3480 Forbrukeratferd,5698da7741a9d721002409c4,3,0,1,1,0,0,5
MRK3480 Forbrukeratferd,5698da712fb0de2600f22b8d,1,2,1,1,0,0,5
MRK3480 Forbrukeratferd,5698da492fb0de2600f229a9,1,1,1,2,0,0,5
MRK3480 Forbrukeratferd,5698da4541a9d72100240690,0,1,2,0,2,0,5
MRK3480 Forbrukeratferd,5698da5a2fb0de2600f22a7a,0,2,1,1,1,0,5
MRK3480 Forbrukeratferd,5698da6241a9d721002408cb,0,1,1,0,3,0,5
MRK3480 Forbrukeratferd,5698da5c41a9d721002407a3,0,1,1,0,3,0,5
MRK3480 Forbrukeratferd,5698da6241a9d721002408cc,0,2,1,0,2,0,5
MRK3480 Forbrukeratferd,5698da6e41a9d72100240955,0,0,5,0,0,0,5
MRK3480 Forbrukeratferd,5698da622fb0de2600f22ae6,0,2,2,1,0,0,5
MRK3480 Forbrukeratferd,5698da742fb0de2600f22bc2,0,1,2,2,0,0,5
MRK3480 Forbrukeratferd,5698da7741a9d721002409c2,0,3,2,0,0,0,5
MRK3480 Forbrukeratferd,5698da5a2fb0de2600f22a72,0,3,2,0,0,0,5
MRK3480 Forbrukeratferd,5698da6441a9d721002408e0,0,3,0,1,1,0,5
MRK3480 Forbrukeratferd,5698da7b2fb0de2600f22c15,0,1,2,1,1,0,5
MRK3480 Forbrukeratferd,5698da7541a9d721002409a1,0,3,1,1,1,0,6
MRK3480 Forbrukeratferd,5698da712fb0de2600f22b8e,0,4,1,0,1,0,6
MRK3480 Forbrukeratferd,5698da5041a9d72100240714,0,0,4,1,1,0,6
MRK3480 Forbrukeratferd,5698da732fb0de2600f22bb5,0,1,1,1,3,0,6
MRK3480 Forbrukeratferd,5698da732fb0de2600f22bba,0,3,1,0,2,0,6
MRK3480 Forbrukeratferd,5698da4c2fb0de2600f229d2,0,1,4,0,1,0,6
MRK3480 Forbrukeratferd,5698da6041a9d721002407e5,0,1,3,0,2,0,6
MRK3480 Forbrukeratferd,5698da772fb0de2600f22bdf,0,1,4,0,1,0,6
MRK3480 Forbrukeratferd,5698da4541a9d72100240692,0,1,4,1,0,0,6
MRK3480 Forbrukeratferd,5698da452fb0de2600f22977,2,1,2,0,1,0,6
MRK3480 Forbrukeratferd,5698da602fb0de2600f22ac9,0,2,2,1,1,0,6
MRK3480 Forbrukeratferd,5698da5e2fb0de2600f22ab6,0,2,4,1,0,0,7
MRK3480 Forbrukeratferd,5698da6d41a9d72100240952,0,1,5,1,0,0,7
MRK3480 Forbrukeratferd,5698da6941a9d72100240923,0,1,3,0,3,0,7
MRK3480 Forbrukeratferd,5698da6c2fb0de2600f22b62,0,2,5,0,0,0,7
