no. login >=,1 day/week,2 days/week,3 days/week,4 days/week,5 days/week,6 days/week
week 2,0.25084745762711863,0.10847457627118644,0.01864406779661017,0.0,0.0,0.0
week 3,0.4491525423728814,0.21525423728813559,0.12372881355932204,0.03728813559322034,0.015254237288135594,0.005084745762711864
week 4,0.4542372881355932,0.23220338983050848,0.14067796610169492,0.04406779661016949,0.011864406779661017,0.003389830508474576
week 5,0.4559322033898305,0.19661016949152543,0.0711864406779661,0.020338983050847456,0.005084745762711864,0.001694915254237288
week 6,0.5033898305084745,0.19830508474576272,0.08135593220338982,0.025423728813559324,0.005084745762711864,0.0
week 7,0.4576271186440678,0.2830508474576271,0.06610169491525424,0.01694915254237288,0.003389830508474576,0.001694915254237288
week 8,0.00847457627118644,0.0,0.0,0.0,0.0,0.0
