no. login (>=),once/week,twice/week,three/week,four/week,five/week,six/week,every day
KLS3551 Kulturledelse,0.676470588235,0.676470588235,0.588235294118,0.558823529412,0.5,0.470588235294,0.0
MRK3480 Forbrukeratferd,0.620253164557,0.620253164557,0.607594936709,0.590717299578,0.535864978903,0.518987341772,0.0
ORG3402 Organisasjonsatferd og ledelse,0.990712074303,0.981424148607,0.891640866873,0.854489164087,0.786377708978,0.743034055728,0.0030959752322
Aggregate,0.824915824916,0.819865319865,0.760942760943,0.732323232323,0.670033670034,0.638047138047,0.0016835016835
